FileName,PSL-Time taken(2loops+unfoldedTraces),PSL-Size(2loops+unfoldedTraces),PSL-Formula Generated(2loops+unfoldedTraces),LTL-Time taken,LTL-Size,LTL-Formula Generated,Frequency of Size DataPoint
allTests/generatedTracesFromPSL/smallTests/22.trace,293.5564980506897,5,((* (true . true)) |-> x0),224.6766950506717,7,((X x0) & (G (x0 U (X (X (X x0)))))),17
allTests/generatedTracesFromPSL/(((x0 . x0) *) |-> x1)/50traces;len:11;vars:3.trace,299.65324902534485,5,((x0 . x0) |-> (G x1)),110.39206826686859,6,((X x0) -> (x0 -> (G x1))),17
allTests/generatedTracesFromPSL/(((x0 . x1) *) |-> x2)/50traces;len:5;vars:4.trace,303.24207305908203,5,((x0 . x1) |-> x2),53.10315991193056,6,(x0 -> (X (x1 -> x2))),17
allTests/generatedTracesFromPSL/(((x0 . x0) *) |-> x1)/100traces;len:11;vars:2.trace,306.3239688873291,4,((x0 . x0) |-> x1),109.60608516819775,5,(x0 -> (X (x0 -> x1))),15
allTests/generatedTracesFromPSL/(((x0 . x0) *) |-> x1)/50traces;len:5;vars:2.trace,334.36483335494995,5,((* (x0 . x0)) |-> x1),618.4338708845899,7,((X (x0 -> x1)) U (x0 -> (G x1))),17
allTests/generatedTracesFromPSL/smallTests/07.trace,342.68349504470825,5,((* (x0 . x0)) |-> x1),233.42755887564272,7,((X (x0 -> x1)) U (x0 -> (G x1))),17
allTests/generatedTracesFromPSL/(((x0 . x1) *) |-> x2)/25traces;len:5;vars:3.trace,355.7020614147186,6,((x0 . x1) |-> (X x2)),65.73780491575599,7,((x0 & (X x1)) -> (G x2)),2
allTests/generatedTracesFromPSL/((true *) |-> (x0 & (X x1)))/100traces;len:13;vars:2.trace,367.46444749832153,5,((X x1) & (G x0)),112.69686411879957,5,((G x0) & (X x1)),51
allTests/generatedTracesFromPSL/smallTests/02.trace,369.6748700141907,6,(x0 -> (G (x0 -> (X (X x0))))),92.50310877803713,6,(x0 -> (G (x0 -> (X (X x0))))),6
allTests/generatedTracesFromPSL/(((x0 . (x1 . x2)) *) |-> x3)/50traces;len:5;vars:5.trace,403.71854639053345,6,((X ((X x1) -> x3)) | x1),105.02470752224326,6,((x3 -> x1) | (x3 U (X x3))),6
allTests/generatedTracesFromPSL/(((x0 . x1) *) |-> x2)/50traces;len:7;vars:3.trace,437.37154960632324,5,((x0 . x1) |-> x2),73.52551237028092,6,(x0 -> (X (x1 -> x2))),17
allTests/generatedTracesFromPSL/((true *) |-> (x0 & (X x1)))/250traces;len:9;vars:3.trace,472.04146814346313,5,(x0 U (G (x1 & x0))),196.4540334502235,5,(G (x0 & (X x1))),51
